data_level,dname,grade,subject,group,year_data,year_created,d,nm,rm
district,PEASTER ISD,3,read,all,2025,2025,134,58,0.43
district,BROCK ISD,3,read,all,2025,2025,177,134,0.76
district,GARNER ISD,3,read,all,2025,2025,29,16,0.55
district,BOVINA ISD,3,read,all,2025,2025,24,5,0.21
district,FARWELL ISD,3,read,all,2025,2025,36,22,0.61
district,FRIONA ISD,3,read,all,2025,2025,65,13,0.2
district,LAZBUDDIE ISD,3,read,all,2025,2025,11,5,0.45
district,BUENA VISTA ISD,3,read,all,2025,2025,10,1,0.1
district,FORT STOCKTON ISD,3,read,all,2025,2025,435,108,0.25
district,IRAAN-SHEFFIELD COLLEGIATE ISD,3,read,all,2025,2025,14,2,0.14
district,BIG SANDY ISD,3,read,all,2025,2025,36,17,0.47
district,GOODRICH ISD,3,read,all,2025,2025,24,6,0.25
district,CORRIGAN-CAMDEN ISD,3,read,all,2025,2025,52,23,0.44
district,LEGGETT ISD,3,read,all,2025,2025,11,3,0.27
district,LIVINGSTON ISD,3,read,all,2025,2025,323,174,0.54
district,ONALASKA ISD,3,read,all,2025,2025,88,38,0.43
district,AMARILLO ISD,3,read,all,2025,2025,2165,961,0.44
district,RIVER ROAD ISD,3,read,all,2025,2025,74,20,0.27
district,HIGHLAND PARK ISD,3,read,all,2025,2025,59,22,0.37
district,BUSHLAND ISD,3,read,all,2025,2025,111,75,0.68
district,MARFA ISD,3,read,all,2025,2025,15,4,0.27
district,PRESIDIO ISD,3,read,all,2025,2025,77,16,0.21
district,RAINS ISD,3,read,all,2025,2025,114,29,0.25
district,CANYON ISD,3,read,all,2025,2025,845,488,0.58
district,REAGAN COUNTY ISD,3,read,all,2025,2025,56,16,0.29
district,BIG SPRINGS CHARTER SCHOOL,3,read,all,2025,2025,11,1,0.09
district,LEAKEY ISD,3,read,all,2025,2025,26,8,0.31
district,AVERY ISD,3,read,all,2025,2025,16,9,0.56
district,RIVERCREST ISD,3,read,all,2025,2025,56,29,0.52
district,CLARKSVILLE ISD,3,read,all,2025,2025,35,11,0.31
district,DETROIT ISD,3,read,all,2025,2025,28,12,0.43
district,PECOS-BARSTOW-TOYAH ISD,3,read,all,2025,2025,201,49,0.24
district,BALMORHEA ISD,3,read,all,2025,2025,5,0,0
district,AUSTWELL-TIVOLI ISD,3,read,all,2025,2025,8,3,0.38
district,WOODSBORO ISD,3,read,all,2025,2025,33,9,0.27
district,REFUGIO ISD,3,read,all,2025,2025,51,21,0.41
district,MIAMI ISD,3,read,all,2025,2025,11,5,0.45
district,BREMOND ISD,3,read,all,2025,2025,37,20,0.54
district,CALVERT ISD,3,read,all,2025,2025,13,1,0.08
district,FRANKLIN ISD,3,read,all,2025,2025,92,68,0.74
district,HEARNE ISD,3,read,all,2025,2025,39,10,0.26
district,MUMFORD ISD,3,read,all,2025,2025,42,40,0.95
district,ROCKWALL ISD,3,read,all,2025,2025,1329,830,0.62
district,ROYSE CITY ISD,3,read,all,2025,2025,726,333,0.46
district,BALLINGER ISD,3,read,all,2025,2025,40,15,0.38
district,MILES ISD,3,read,all,2025,2025,35,25,0.71
district,WINTERS ISD,3,read,all,2025,2025,40,15,0.38
district,OLFEN ISD,3,read,all,2025,2025,9,5,0.56
district,HENDERSON ISD,3,read,all,2025,2025,207,85,0.41
district,LANEVILLE ISD,3,read,all,2025,2025,12,0,0
district,LEVERETTS CHAPEL ISD,3,read,all,2025,2025,15,1,0.07
district,MOUNT ENTERPRISE ISD,3,read,all,2025,2025,43,15,0.35
district,OVERTON ISD,3,read,all,2025,2025,36,17,0.47
district,TATUM ISD,3,read,all,2025,2025,102,57,0.56
district,CARLISLE ISD,3,read,all,2025,2025,44,16,0.36
district,WEST RUSK COUNTY CONSOLIDATED ISD,3,read,all,2025,2025,70,22,0.31
district,HEMPHILL ISD,3,read,all,2025,2025,61,30,0.49
district,WEST SABINE ISD,3,read,all,2025,2025,49,11,0.22
district,SAN AUGUSTINE ISD,3,read,all,2025,2025,41,14,0.34
district,BROADDUS ISD,3,read,all,2025,2025,30,14,0.47
district,COLDSPRING-OAKHURST CISD,3,read,all,2025,2025,117,41,0.35
district,SHEPHERD ISD,3,read,all,2025,2025,136,38,0.28
district,ARANSAS PASS ISD,3,read,all,2025,2025,124,45,0.36
district,GREGORY-PORTLAND ISD,3,read,all,2025,2025,355,194,0.55
district,INGLESIDE ISD,3,read,all,2025,2025,132,65,0.49
district,MATHIS ISD,3,read,all,2025,2025,100,58,0.58
district,ODEM-EDROY ISD,3,read,all,2025,2025,59,38,0.64
district,SINTON ISD,3,read,all,2025,2025,145,44,0.3
district,TAFT ISD,3,read,all,2025,2025,58,10,0.17
district,SAN SABA ISD,3,read,all,2025,2025,43,12,0.28
district,RICHLAND SPRINGS ISD,3,read,all,2025,2025,8,3,0.38
district,CHEROKEE ISD,3,read,all,2025,2025,13,7,0.54
district,SCHLEICHER ISD,3,read,all,2025,2025,26,19,0.73
district,HERMLEIGH ISD,3,read,all,2025,2025,17,3,0.18
district,SNYDER ISD,3,read,all,2025,2025,170,57,0.34
district,IRA ISD,3,read,all,2025,2025,16,10,0.62
district,ALBANY ISD,3,read,all,2025,2025,27,8,0.3
district,MORAN ISD,3,read,all,2025,2025,9,4,0.44
district,CENTER ISD,3,read,all,2025,2025,166,56,0.34
district,JOAQUIN ISD,3,read,all,2025,2025,50,16,0.32
district,SHELBYVILLE ISD,3,read,all,2025,2025,69,34,0.49
district,TENAHA ISD,3,read,all,2025,2025,27,7,0.26
district,TIMPSON ISD,3,read,all,2025,2025,47,20,0.43
district,EXCELSIOR ISD,3,read,all,2025,2025,10,3,0.3
district,TEXHOMA ISD,3,read,all,2025,2025,19,14,0.74
district,STRATFORD ISD,3,read,all,2025,2025,31,16,0.52
district,CUMBERLAND ACADEMY,3,read,all,2025,2025,168,71,0.42
district,UT TYLER UNIVERSITY ACADEMY,3,read,all,2025,2025,102,51,0.5
district,ARP ISD,3,read,all,2025,2025,73,28,0.38
district,BULLARD ISD,3,read,all,2025,2025,198,115,0.58
district,LINDALE ISD,3,read,all,2025,2025,359,247,0.69
district,TROUP ISD,3,read,all,2025,2025,84,47,0.56
